z,x,y
1,0.0261008622,0.0294260778
1,0.026406729,0.029575125
1,0.0270266922,0.0298759626
1,0.02734056,0.0300286674
1,0.0279767538,0.0303368202
1,0.0282988512,0.030492954
1,0.0286239204,0.0306504594
1,0.0292820598,0.030968442
1,0.0296155872,0.031129605
1,0.0302911002,0.0314551314
1,0.0306333144,0.031619952
1,0.031326201,0.0319530222
1,0.0316773306,0.0321215004
1,0.032031432,0.0322915788
1,0.0327485502,0.0326344788
1,0.033111567,0.0328079862
1,0.033846516,0.03315843
1,0.0342189054,0.0333358236
1,0.0349721424,0.0336931254
1,0.0353534472,0.0338741766
1,0.036124515,0.0342383364
1,0.0369076986,0.0346075254
1,0.0373038624,0.0347938344
1,0.0381044196,0.035168967
1,0.0385092702,0.0353584764
1,0.0393269724,0.0357395526
1,0.0397402812,0.0359320338
1,0.040574214,0.0363185964
1,0.041418891,0.036708588
1,0.04184523,0.0369049554
1,0.0427043088,0.037299519
1,0.043137963,0.0374981724
1,0.0440107578,0.0378963936
1,0.0448915536,0.0382966722
1,0.0453352662,0.0384980688
1,0.0462270348,0.0389006334
1,0.0471242898,0.039304341
1,0.0475753176,0.0395068806
1,0.048479202,0.0399108168
1,0.0493858296,0.0403142958
1,0.0498400578,0.0405161496
1,0.0507473712,0.0409173426
1,0.0516530844,0.041316021
1,0.0521050266,0.0415146744
1,0.053003196,0.0419076378
1,0.0538931358,0.0422953434
1,0.0543343338,0.0424871388
1,0.0552041568,0.042863643
1,0.0560547774,0.0432303174
1,0.056471058,0.0434093112
1,0.057278016,0.043755183
1,0.057666636,0.0439216038
1,0.0583997562,0.0442338714
1,0.0587369412,0.0443772036
1,0.0597523824,0.0448074288
1,0.0607211892,0.045215937
1,0.0617135418,0.0456324462
1,0.0627296688,0.0460567278
1,0.063246762,0.0462722976
1,0.0642969504,0.046707552
1,0.0653711418,0.0471503502
1,0.066468879,0.0476006922
1,0.067590162,0.0480583494
1,0.068735448,0.0485228646
1,0.0699040512,0.0489944664
1,0.0710975718,0.0494733834
1,0.0717022188,0.0497145564
1,0.0729309438,0.0502030746
1,0.074182986,0.0506982222
1,0.0754590312,0.051199542
1,0.0767586222,0.0517068054
1,0.077416533,0.0519621516
1,0.078750414,0.0524781018
1,0.0801080694,0.052999767
1,0.0807947838,0.0532619712
1,0.0821865006,0.0537916374
1,0.083600163,0.054325647
1,0.0843152238,0.0545944806
1,0.0857624904,0.0551355768
1,0.0864937818,0.0554076108
1,0.0879737382,0.0559553364
1,0.0887210316,0.0562303422
1,0.0902323062,0.0567837828
1,0.0909951444,0.0570615318
1,0.0925363656,0.057619773
1,0.0933142914,0.0579002652
1,0.0948840876,0.0584623926
1,0.0964730862,0.0590277204
1,0.0980806014,0.0595951056
1,0.0988903026,0.059879484
1,0.1005225066,0.0604493838
1,0.1021711698,0.0610208838
1,0.1038342348,0.061592841
1,0.1055121588,0.0621659412
1,0.1072028844,0.06273927
1,0.1089070974,0.0633128274
1,0.1106225118,0.0638859276
1,0.112350042,0.0644592564
1,0.1140878592,0.0650314422
1,0.1158375636,0.0656038566
1,0.1167158448,0.0658896066
1,0.1184817798,0.066460878
1,0.120260745,0.067032378
1,0.1211543424,0.0673178994
1,0.1229534244,0.0678893994
1,0.12476988,0.068462271
1,0.1256845086,0.0687489354
1,0.127530225,0.0693243216
1,0.1294008588,0.0699029082
1,0.1313000676,0.0704860668
1,0.1332312804,0.071074026
1,0.1352004408,0.0716686146
1,0.1372118922,0.0722712042
1,0.1392706638,0.0728829378
1,0.141379956,0.0735045012
1,0.142454376,0.0738190548
1,0.1435429692,0.0741363516
1,0.14464665,0.0744566202
1,0.1457651898,0.0747798606
1,0.146899503,0.0751063014
1,0.1480495896,0.075435714
1,0.1492159068,0.075768327
1,0.151599519,0.0764436114
1,0.1528170426,0.0767862828
1,0.1540514826,0.077131926
1,0.1553035248,0.0774812268
1,0.1565740836,0.077833728
1,0.1578622446,0.0781898868
1,0.159168465,0.0785490174
1,0.1618355412,0.0792771084
1,0.1631961684,0.0796458402
1,0.164575998,0.0800177724
1,0.1673918928,0.0807714666
1,0.1688272722,0.0811525428
1,0.1702823112,0.0815368194
1,0.1732483962,0.0823140594
1,0.1747605852,0.0827070228
1,0.1778421132,0.0835014078
1,0.181003194,0.0843072228
1,0.182613681,0.0847143594
1,0.185894091,0.085536405
1,0.1875646998,0.085951314
1,0.1892565684,0.0863694234
1,0.1909683252,0.0867895902
1,0.1927022562,0.0872129574
1,0.1944560754,0.0876386106
1,0.1962332118,0.0880672356
1,0.1980306936,0.0884981466
1,0.1998508068,0.0889320294
1,0.201694923,0.089368884
1,0.2035596132,0.089807796
1,0.2054478492,0.0902494512
1,0.2073600882,0.0906940782
1,0.2092945014,0.0911409912
